ID,  Milk,ChildBby,Vegges,Cereal, Bread,  Rice,  Meat,  Eggs,YogChese, Chips,  Soda, Fruit,  Corn,  Fish, Sauce, Beans,Tortya,SaltNPepper,Scented, Salza
696,     3,     4,     1,     6,     5,     5,     9,     4,     3,     7,     8,     5,     9,     2,     6,     3,     8,     6,     3,     7
697,     2,     2,     6,    10,     4,     7,     5,     6,     2,     9,     2,     4,     4,     7,     4,     4,     6,     2,     5,     3
698,     1,     1,     2,     8,     3,     7,     7,     4,     0,     8,     7,     3,     7,     3,     3,     8,     7,     2,     2,     7
699,     8,     8,     9,    10,     9,     7,     9,     5,     4,     1,     2,     3,     2,     4,     3,     7,     2,     4,     7,     3
700,    10,     8,     7,     5,     8,     5,    10,     4,     7,     0,     3,     2,     4,     4,     3,     6,     1,     2,     4,     4
701,     0,     2,     2,     8,     0,     8,     8,     5,     1,     8,     5,     8,     6,     3,     3,     6,     7,     4,     5,     6
702,     5,     3,     5,     8,     5,     6,     8,     5,     7,     7,     1,     4,     2,     6,     3,     5,     6,     5,     4,     2
703,     7,     1,     5,     8,     5,     8,     9,     5,     3,     7,     2,     7,     5,     5,     5,     5,     8,     4,     4,     0
704,     4,     5,     6,     7,     5,     6,     5,     7,     5,     9,     1,     3,     5,     6,     1,     4,     7,     7,     8,     2
705,     3,     2,     1,     7,     1,     6,     8,     7,     0,    10,     8,     3,     6,     2,     5,     5,     7,     6,     6,     5
706,     4,     8,    10,     4,     0,     6,     6,     4,     6,     2,     0,     4,     2,     1,     0,     5,     7,     6,     0,     3
707,     3,     2,     7,     9,     4,     5,     5,     5,     8,     7,     2,     6,     4,     5,     3,     3,     8,     5,     5,     2
708,     2,     3,     3,     9,     3,     7,     9,     5,     5,     7,     7,     8,     9,     3,     4,     4,     7,     6,     5,     5
709,    10,    10,     8,     9,    10,     8,     9,     4,     7,     2,     5,     5,     6,     1,     3,     4,     3,     6,     6,     3
710,     7,     1,     7,     9,     4,     8,     9,     4,     3,     7,     2,     7,     2,     8,     3,     6,     6,     4,     5,     2
711,     5,     3,     3,     7,     0,     3,     6,     4,     3,     8,     8,     4,     7,     2,     5,     3,     9,     3,     5,     6
712,     5,     4,     8,     7,     0,     9,     5,     3,     8,     0,     0,     7,     3,     5,     4,     4,     6,     6,     0,     4
713,     0,     3,     4,     8,     1,     4,     9,     5,     0,    10,     8,    10,     8,     4,     7,     8,     4,     3,     8,     6
714,    10,     6,     6,     7,     8,     5,    10,     5,     4,     2,     0,     6,     5,     1,     1,     5,     1,     3,     7,     3
715,     3,     2,     8,     5,     0,     7,     3,     6,     9,     2,     0,     3,     0,     3,     3,     5,     8,     6,     0,     4
716,     3,     2,     3,    10,     1,     7,     9,     5,     1,     9,     9,     4,     6,     2,     6,     5,     7,     5,     2,     4
717,     5,     2,     7,     7,     6,    10,     8,     6,     6,     7,     2,     6,     6,     5,     3,     6,    10,     4,     3,     3
718,     4,     6,     9,     7,     1,     9,     7,     5,     8,     3,     1,     8,     7,     1,     4,     5,     8,     8,     1,     5
719,     3,     8,     9,     4,     0,     8,     4,     2,     8,     0,     0,     7,     1,     3,     4,     4,     5,     7,     1,     2
720,    10,     8,     9,     8,     8,     7,     7,     8,     3,     2,     2,     5,     4,     2,     2,     5,     1,     4,     5,     1
721,     9,    10,     9,     9,     8,     5,     8,     7,     7,     4,     3,     5,     1,     1,     0,     5,     1,     4,     7,     2
722,     6,     3,     6,     5,     5,     8,     8,     8,     2,     8,     2,     5,     2,     6,     2,     5,     9,     4,     4,     2
723,     3,     4,     9,     5,     0,     7,     6,     5,     8,     0,     1,     2,     2,     1,     1,     6,     4,     3,     0,     4
724,     5,     3,     6,     5,     3,     7,     6,     2,     8,     8,     0,     4,     5,     6,     2,     7,     9,     3,     5,     1
725,     4,     3,     5,     3,     6,     6,     5,     3,     5,     6,     1,     1,     4,     6,     4,     4,     6,     7,     6,     1
726,     4,     5,     2,    10,     3,     4,     8,     4,     1,     7,     7,     8,     9,     1,     5,     5,     9,     6,     6,     4
727,     5,     4,     5,     5,     3,     7,     7,     6,     2,     7,     1,     4,     7,     7,     2,     6,     8,     3,     5,     1
728,     4,     4,     7,     7,     3,     6,     9,     4,     6,     5,     5,     6,     2,     4,     2,     4,     7,     2,     5,     3
729,    10,     9,     9,     8,     9,     9,     8,     5,     4,     0,     2,     5,     4,     3,     1,     5,     2,     6,     6,     2
730,    10,     9,    10,     8,     8,     5,    10,     6,     8,     3,     3,     6,     5,     0,     2,     6,     1,     4,     5,     2
731,     5,     2,     9,     8,     7,     8,     7,     4,     6,     8,     3,     3,     6,     3,     1,     7,     5,     7,     5,     2
732,     2,     4,     3,     8,     6,     6,     7,     3,     4,     8,     7,     6,     6,     2,     5,     2,    10,     7,     6,     4
733,     7,     7,     9,     8,     1,     8,     3,     6,     9,     1,     2,     4,     3,     2,     5,     8,     8,     6,     1,     3
734,     2,     1,     0,    10,     3,     6,     8,     5,     1,     9,     8,     5,     4,     1,     7,     6,     6,     2,     4,     6
735,    10,     8,    10,     8,     5,     5,     7,     5,     5,     2,     1,     7,     4,     3,     2,     7,     1,     4,     5,     2
736,     4,     6,    10,     7,     1,     6,     4,     4,     9,     2,     0,     7,     1,     2,     3,     6,     8,     7,     2,     2
737,     5,     7,     8,     4,     1,     6,     7,     7,     9,     3,     2,     6,     2,     2,     5,     6,     7,     7,     1,     4
738,     4,     1,     6,     6,     7,     7,     6,     2,     5,     8,     1,     7,     4,     5,     2,     4,     8,     4,     2,     0
739,     1,     2,     1,     9,     3,     7,    10,     5,     0,     7,     8,     5,     5,     1,     8,     7,     8,     4,     7,     8
740,     5,     4,     5,     6,     4,     6,     6,     7,     4,     8,     4,     6,     3,     5,     3,     6,     8,     0,     6,     3
741,    10,     9,    10,     7,     8,     6,    10,     2,     3,     4,     2,     6,     6,     1,     1,     6,     1,     4,     7,     2
742,     9,     8,     9,     8,    10,     6,    10,     6,     7,     4,     3,     5,     4,     4,     0,     8,     0,     5,     7,     1
743,     4,     0,     2,     8,     1,     7,     8,     6,     0,     8,     9,     6,     8,     3,     7,     7,     9,     5,     4,     7
744,     9,     9,     9,    10,     7,     6,     8,     5,     5,     2,     1,     5,     3,     0,     3,     6,     1,     6,     7,     2
745,    10,     8,     6,     8,     8,     8,     9,     3,     6,     1,     4,     8,     4,     5,     2,     4,     0,     5,     6,     6
746,     4,     5,     8,     8,     0,     6,     5,     4,     9,     5,     1,     4,     4,     2,     2,     7,     8,     5,     0,     2
747,     4,     2,     2,     9,     4,     8,     9,     6,     0,     8,     9,     3,     8,     2,     6,     8,     8,     6,     6,     7
748,     5,     6,     8,     6,     0,     8,     5,     4,     9,     2,     1,     5,     4,     2,     3,     7,     7,     4,     0,     5
749,     5,     1,     4,     8,     3,     6,    10,     6,     1,     9,     8,     5,     7,     1,     7,     6,     9,     3,     4,     3
750,     5,     5,     8,     5,     4,     7,     9,     4,     5,     7,     1,     7,     4,     6,     4,     3,     4,     5,     3,     2
751,     8,     5,     9,     3,     1,     7,     4,     3,     8,     0,     0,     4,     2,     2,     2,     6,     8,     6,     2,     6
752,     4,     3,     8,     8,     5,     8,    10,     7,     7,     9,     2,     4,     2,     5,     2,     6,     7,     2,     7,     1
753,     5,     4,     7,     9,     5,     6,     4,     5,     5,     6,     2,     7,     4,     3,     4,     7,     6,     5,     6,     1
754,    10,     9,     3,     7,    10,     6,     6,     6,     5,     4,     1,     6,     2,     3,     1,     4,     2,     3,     3,     1
755,     8,     9,     8,     7,     9,     7,     9,     5,     3,     2,     4,     4,     5,     4,     3,     7,     0,     2,     4,     1
756,     1,     0,     2,    10,     2,     7,     9,     4,     2,     8,    10,     3,     8,     0,     7,     3,     7,     2,     2,     5
757,     8,     3,    10,     8,     1,     6,     3,     3,     8,     2,     2,     6,     1,     0,     4,     6,     9,     4,     1,     4
758,     4,     0,     1,     8,     5,     5,     8,     7,     0,    10,     8,     6,     7,     2,     5,     7,     7,     5,     4,     8
759,     5,     1,     5,     6,     5,    10,     7,     4,     1,     9,     1,     3,     3,     6,     2,     3,     7,     6,     3,     2
760,     5,     6,     9,     6,     0,     8,     4,     1,     8,     0,     0,     5,     2,     1,     2,     7,    10,     6,     1,     2
761,     5,     5,     7,     7,     6,     7,     8,     4,     5,     7,     2,     3,     2,     5,     0,     5,     6,     6,     4,     2
762,     3,     1,     2,     7,     2,     2,     9,     5,     0,     7,     7,     5,     4,     1,     5,     5,     8,     3,     6,     7
763,     3,     2,     1,     7,     2,     6,    10,     5,     0,    10,     7,     5,     5,     2,     5,     4,    10,     4,     4,     6
764,     5,     1,     5,     9,     4,     7,     7,     8,     7,     9,     3,     6,     3,     5,     5,     4,     8,     6,     7,     1
765,     6,     4,     7,     8,     0,     7,     5,     6,     7,     4,     2,     4,     2,     1,     2,     7,     8,     6,     1,     2
766,     2,     0,     2,     7,     2,     5,     5,     7,     1,     9,     8,     3,     8,     1,     4,     6,    10,     6,     5,     4
767,     5,     9,     7,     8,     1,     8,     6,     5,     8,     0,     0,     6,     2,     3,     4,     6,     6,     4,     1,     4
768,     1,     2,     2,     9,     1,     6,     9,     6,     1,     9,     8,     5,     7,     4,     6,     5,     8,     4,     6,     5
769,     4,     0,     0,     9,     2,     5,     7,     5,     0,     8,     8,     6,     8,     7,     9,     5,     8,     6,     4,     4
770,     9,     9,     9,     8,     7,     5,     6,     5,     3,     1,     3,     6,     4,     2,     3,     5,     2,     3,     4,     1
771,     6,     5,     7,     5,     0,    10,     3,     4,     7,     3,     1,     4,     4,     3,     2,     6,     8,     6,     1,     7
772,     5,     7,     7,     9,     7,     7,     8,     4,     3,     9,     1,     4,     2,     6,     2,     4,     6,     3,     6,     3
773,     9,     7,     8,     9,     6,     8,     6,     7,     4,     1,     3,     5,     5,     1,     1,     2,     1,     3,     6,     3
774,     6,     6,    10,     7,     0,     6,     6,     4,     9,     0,     2,     9,     3,     1,     3,     4,     6,     4,     0,     5
775,     9,    10,     6,     7,     8,     8,     8,     7,     5,     1,     2,     5,     4,     2,     2,     3,     2,     4,     8,     3
776,     5,     4,     8,     4,     1,     6,     3,     5,     7,     1,     0,     6,     1,     1,     4,     2,     8,     1,     0,     4
777,     9,     8,     7,     8,     7,     5,    10,     8,     6,     2,     2,     5,     3,     2,     1,     7,     1,     5,     5,     1
778,     5,     2,     6,     8,     4,     8,     5,     8,     4,     7,     2,     6,     5,     7,     3,     5,     8,     4,     6,     5
779,     8,     2,     4,     9,     6,     7,     9,     6,     6,     8,     1,     7,     4,     6,     4,     6,     9,     5,     5,     3
780,     9,    10,     9,     8,     8,     6,     7,     6,     7,     1,     3,     4,     2,     1,     3,     7,     2,     6,     5,     2
781,     5,     5,     9,     9,     0,     7,     6,     6,     8,     2,     2,     6,     2,     3,     4,     3,     8,     4,     1,     1
782,     4,     4,     5,     7,     4,     7,     7,     3,     5,     5,     2,     4,     1,     3,     4,     5,     6,     4,     7,     2
783,     3,     8,    10,     7,     0,     4,     4,     4,     9,     0,     0,     5,     2,     3,     1,     3,     7,     3,     0,     5
784,     4,     6,    10,     5,     0,     7,     6,     6,     8,     3,     1,     4,     4,     4,     4,     4,    10,     6,     0,     3
785,     3,     1,     2,     8,     2,    10,     7,     4,     3,     8,     6,     7,     6,     4,     7,     8,     7,     3,     8,     4
786,    10,    10,     8,     7,     8,     6,    10,     5,     5,     3,     1,     6,     4,     2,     3,     7,     0,     8,     4,     1
787,    10,     9,     7,    10,     7,     7,     6,     5,     4,     2,     3,     3,     7,     3,     4,     6,     1,     7,     7,     1
788,    10,     9,     9,     9,    10,     9,     5,     6,     5,     2,     4,     4,     3,     5,     2,     5,     1,     5,     7,     1
789,     5,     3,    10,     6,     0,     8,     4,     8,     7,     1,     0,     6,     3,     3,     3,     7,     7,     3,     0,     3
790,     2,     3,     2,    10,     4,     5,     8,     7,     1,    10,     8,     8,     8,     3,     6,     8,     8,     4,     5,     6
791,     6,     1,     6,     5,     5,     9,     8,     2,     5,     9,     3,     5,     4,     4,     1,     3,     5,     4,     4,     2
792,     5,     4,     3,     7,     6,     7,     8,     9,     6,     8,     2,     6,     3,     6,     3,     7,     8,     4,     7,     1
793,     3,     2,     3,     8,     3,     4,     8,     7,     1,     9,     9,     4,     6,     2,     5,     4,     9,     3,     5,     7
794,     7,     7,     8,     8,     0,     6,     5,     4,     8,     2,     0,     8,     0,     4,     3,     4,     8,     7,     1,     2
795,     6,     3,     4,     8,     3,     7,     8,     4,     3,     7,     6,     3,     6,     5,     2,     6,     7,     6,     4,     2
796,     6,     4,     5,     4,     8,     7,     6,     5,     1,     9,     1,     6,     6,     6,     3,     5,     9,     3,     3,     0
797,     7,     7,     9,     6,     0,     6,     6,     3,     8,     3,     0,     6,     2,     3,     3,     6,     8,     3,     2,     3
798,     6,     1,     8,     6,     3,     7,     3,     5,     5,     8,     1,     8,     5,     7,     5,     5,     7,     3,     8,     4
799,     7,     6,     8,     5,     0,     7,     3,     4,     9,     2,     0,     5,     0,     2,     5,     3,     7,     5,     0,     6
800,     0,     5,     1,     8,     4,     4,     9,     4,     2,     7,     7,     5,     6,     4,     6,     4,     9,     6,     7,     6
801,     2,     2,     2,     5,     2,     6,     4,     6,     1,     9,     8,     5,     7,     2,     6,     4,     8,     6,     8,     6
802,     5,     3,    10,     5,     0,     6,     6,     5,     9,     0,     1,     4,     2,     3,     3,     8,     7,     3,     2,     3
803,     9,     5,     8,     8,     8,     9,     8,     5,     4,     3,     2,     6,     6,     3,     2,     3,     3,     3,     5,     1
804,     7,     3,     6,     8,     5,     3,     6,     4,     8,     8,     1,     4,     2,     7,     3,     4,     7,     6,     4,     2
805,    10,     8,     7,     8,     9,     5,     9,     4,     4,     3,     3,     9,     3,     0,     0,     2,     1,     6,     3,     2
806,    10,     8,     7,     8,     9,     6,     8,     6,     6,     2,     5,     5,     5,     4,     3,     6,     0,     5,     3,     1
807,     4,     3,     8,     6,     0,     6,     2,     4,     9,     3,     2,     7,     3,     3,     2,     3,     7,     6,     0,     5
808,     5,     4,     9,     6,     0,     8,     2,     8,     8,     1,     0,     6,     1,     2,     4,     5,     5,     7,     0,     3
809,     4,     2,     0,     7,     1,     8,     8,     7,     1,     6,    10,     5,     4,     5,     5,     6,     7,     3,     6,     6
810,     2,     3,     2,    10,     6,     7,     8,     1,     1,     9,     7,     3,     6,     2,     8,     4,     7,     6,     5,     7
811,     5,     7,    10,     6,     0,    10,     6,     3,     8,     3,     2,     5,     6,     4,     2,     6,     9,     4,     0,     2
812,     2,     1,     1,     7,     2,     7,     9,     6,     2,    10,    10,     6,     7,     1,     4,     4,     8,     6,     4,     6
813,     9,     7,     8,     9,     8,     8,     9,     2,     4,     1,     3,     7,     3,     2,     2,     4,     0,     6,     4,     1
814,     3,     1,     8,     9,     6,     8,     8,     5,     7,     7,     1,     7,     3,     4,     2,     5,     4,     4,     4,     0
815,     1,     1,     3,     8,     2,     4,     8,     3,     0,     9,     7,     9,     5,     2,     1,     6,     5,     4,     4,     5
816,     3,     6,     9,     7,     0,     5,     6,     6,     8,     1,     3,     6,     1,     2,     2,     9,     6,     7,     0,     5
817,     3,     5,    10,     6,     1,     7,     4,     4,     9,     1,     0,     4,     2,     3,     4,     5,     7,     3,     1,     3
818,     3,     3,     4,     8,     5,     4,     4,     7,     4,     8,     2,     7,     3,     2,     4,     7,     7,     5,     5,     2
819,    10,     8,    10,     7,     8,     7,     7,     7,     3,     2,     0,     4,     5,     2,     2,     7,     1,     4,     4,     2
820,     6,     5,     7,     4,     0,     7,     3,     5,     6,     2,     2,     5,     3,     3,     2,     5,     7,     3,     0,     2
821,     5,     8,     9,     4,     0,     8,     2,     6,     9,     1,     2,     4,     1,     2,     5,     6,     7,     4,     0,     4
822,     2,     1,     1,     9,     2,     4,     7,     6,     2,    10,     9,     5,     5,     3,     6,     5,    10,     5,     4,     7
823,     6,     6,     6,     5,     0,     7,     2,     5,     8,     1,     0,     7,     2,     4,     4,     7,    10,     8,     0,     4
824,     3,     3,     6,     6,     3,     8,     9,     4,     3,     6,     1,     5,     2,     6,     0,     3,     7,     3,     6,     2
825,     6,     5,     5,     5,     4,     6,     7,     6,     5,     8,     2,     2,     4,     4,     3,     5,     7,     3,     3,     2
826,    10,     8,     7,    10,     9,     9,     7,     5,     8,     2,     1,     5,     8,     2,     2,     8,     2,     3,     7,     4
827,     6,     4,     6,     6,     5,     7,     8,     5,     6,     9,     4,     6,     4,     2,     5,     5,     7,     6,     6,     2
828,     4,     9,     9,     7,     1,     7,     6,     5,     4,     3,     3,     4,     7,     3,     3,     5,     6,     4,     1,     1
829,     4,     6,     8,     9,     0,     8,     1,     8,     9,     2,     0,     7,     7,     4,     2,     4,     6,     5,     1,     0
830,     5,     4,     5,     7,     4,     7,     8,     3,     7,     9,     1,     7,     4,     5,     4,     5,     8,     4,     5,     4
831,     5,     9,     8,     8,     0,     8,     4,     4,     8,     3,     2,     5,     4,     4,     6,     5,     6,     4,     1,     2
832,     2,     5,     7,     8,     4,     6,     7,     4,     6,     9,     1,     3,     4,     3,     3,     8,     7,     6,     6,     1
833,     5,     6,     9,     4,     0,     4,     7,     3,     7,     4,     1,     5,     4,     3,     5,     8,    10,     6,     0,     1
834,     6,     2,     8,     5,     4,     7,     9,     6,     4,     7,     2,     6,     2,     6,     4,     8,     6,     6,     5,     4
835,    10,     9,     6,     7,     8,     9,     7,     5,     4,     4,     3,     6,     3,     2,     1,     5,     1,     7,     6,     4
836,     4,     3,     9,     5,     1,     7,     3,     5,     7,     4,     1,     8,     2,     2,     1,     7,     7,     5,     0,     4
837,     3,     1,     3,    10,     4,     6,     7,     6,     1,     6,     8,     4,     7,     2,     5,     5,    10,     5,     5,     7
838,     4,     2,     3,     6,     6,     5,     8,     6,     5,     8,     2,     4,     5,     7,     2,     6,     6,     4,     3,     0
839,     4,     4,    10,     6,     0,     7,     4,     6,     8,     2,     0,     4,     4,     4,     1,     4,     9,     6,     1,     6
840,    10,     6,     8,     7,     9,     6,     9,     5,     6,     1,     3,     3,     2,     3,     1,     4,     0,     4,     7,     1
841,    10,     7,     9,     8,     7,     6,    10,     5,     5,     2,     1,     5,     5,     4,     3,     4,     2,     4,     3,     0
842,     8,     9,     9,     5,    10,     7,     8,     5,     9,     1,     3,     7,     4,     1,     2,     6,     0,     7,     6,     3
843,     7,     5,    10,     7,     1,     8,     5,     7,     7,     2,     0,     5,     4,     0,     1,     3,     6,     2,     0,     3
844,     0,     3,     4,    10,     5,     5,    10,     4,     3,    10,    10,     5,     6,     4,     5,     3,     8,     4,     6,     6
845,    10,     8,     7,     6,     8,     6,     9,     7,     7,     2,     1,     5,     2,     4,     0,     7,     2,     5,     3,     2
846,     2,     3,     0,     7,     2,     6,    10,     5,     2,    10,    10,     7,     7,     1,     5,     4,     8,     4,     3,     6
847,     3,     3,     9,     6,     8,     6,     5,     8,     6,    10,     2,     3,     1,     6,     4,     2,     8,     4,     7,     2
848,     2,     0,     1,     8,     1,     6,     6,     6,     1,     9,     8,     6,     7,     0,     4,     4,     8,     4,     4,     8
849,     3,     2,     3,     8,     5,     6,     8,     8,     1,     7,     9,     8,     9,     4,     4,     4,     9,     3,     4,     6
850,     6,     4,     8,     7,     0,     8,     5,     4,     9,     2,     2,     3,     2,     2,     3,     3,     7,     4,     0,     3
851,     3,     2,     1,     6,     3,     5,     8,     5,     3,    10,     8,     4,     9,     1,     7,     7,     6,     6,     3,     8
852,    10,     9,     9,     5,     8,     5,     8,     3,     4,     2,     2,     4,     5,     1,     2,     7,     1,     2,     3,     0
853,     9,     5,     8,     8,     9,     6,     5,     6,     6,     2,     3,     5,     2,     1,     2,     5,     0,     4,     9,     2
854,     2,     5,     0,     9,     5,     3,     8,     3,     1,     9,     8,     4,     6,     1,     8,     4,     9,     5,     4,     6
855,     6,     7,     8,     6,     0,     7,     6,     4,     9,     3,     0,     7,     2,     2,     2,     5,     8,     6,     0,     0
856,     7,     7,     7,     4,     0,     7,     6,     4,     7,     2,     1,     7,     2,     3,     2,     1,     6,     5,     0,     2
857,     1,     1,     3,     8,     3,     9,     9,     6,     0,     6,     9,     3,     5,     4,     8,     3,     9,     2,     5,     5
858,     4,     8,     9,     5,     0,     8,     5,     4,     9,     0,     3,     6,     2,     4,     3,     6,     6,     6,     0,     5
859,     4,     3,     1,     6,     2,     7,     8,     7,     1,     9,     5,     6,     9,     4,     3,     7,     8,     2,     4,     5
860,     9,    10,     5,    10,     8,     6,     9,     5,     3,     1,     2,     5,     3,     4,     0,     5,     1,     5,     5,     0
861,     2,     2,     3,     9,     2,     5,    10,     4,     2,     9,     9,     6,     5,     1,     5,     6,     8,     3,     5,     4
862,     7,     7,     8,     6,     0,     8,     9,     4,     8,     3,     1,     6,     5,     1,     3,     5,     9,     4,     1,     4
863,    10,     7,     8,     8,    10,     7,     9,     5,     2,     1,     2,     4,     5,     2,     1,     4,     0,     4,     5,     1
864,     4,     4,     9,     5,     6,     6,     8,     5,     6,     8,     1,     1,     5,     6,     4,     5,     7,     6,     7,     0
865,     2,     1,     1,     8,     4,     5,     9,     2,     1,    10,     8,     5,     7,     2,     6,     4,     7,     4,     5,     7
866,     4,     1,     4,     9,     5,     7,     5,     7,     7,     9,     1,     8,     3,     7,     3,     4,    10,     4,     6,     2
867,    10,     8,     7,     9,     9,     6,     8,     5,     7,     2,     2,     2,     3,     1,     0,     3,     1,     4,     7,     0
868,     8,     8,    10,     5,     0,     5,     5,     5,     6,     4,     1,     5,     5,     3,     3,     3,     8,     4,     1,     5
869,     3,     3,     2,     8,     2,     7,     9,     8,     0,     8,     8,     5,     8,     1,     2,     5,     9,     6,     4,     4
870,    10,     6,     6,     8,     5,     8,     6,     5,     5,     2,     4,     4,     4,     0,     2,     7,     1,     6,     2,     3
871,     5,     6,     8,     4,     0,     7,     3,     6,     7,     1,     2,     6,     3,     1,     1,     5,     9,     5,     0,     2
872,    10,     8,     8,     6,     7,     6,     7,     7,     7,     2,     3,     5,     5,     1,     1,     4,     0,     3,     3,     1
873,    10,     7,     8,     7,     9,     7,     8,     6,     6,     2,     2,     5,     4,     3,     2,     3,     0,     7,     4,     1
874,     3,     2,     0,     9,     2,     7,     9,     3,     2,     7,     9,     5,     6,     2,     6,     3,     5,     5,     4,     7
875,     5,     7,     8,     6,     0,     5,     3,     6,     8,     0,     1,     7,     2,     5,     1,     5,     7,     1,     0,     5
876,     2,     0,     1,     7,     2,     6,     7,     4,     2,     8,    10,     5,     8,     4,     7,     7,     6,     8,     8,     6
877,     1,     0,     0,    10,     4,     7,     7,     6,     0,     9,     9,     6,     8,     4,     6,     3,     8,     5,     8,     6
878,     9,     8,     7,    10,     8,     6,     9,     4,     6,     0,     1,     4,     6,     2,     2,     6,     3,     6,     5,     3
879,    10,     7,     9,     9,     8,     7,    10,     4,     4,     4,     0,     4,     4,     3,     3,     6,     0,     6,     7,     2
880,     5,     3,     8,     7,     7,     7,     7,     7,     6,     6,     4,     5,     4,     7,     5,     6,     7,     3,     7,     3
881,     5,     3,     6,     7,     2,     8,     5,     7,     4,     9,     2,     5,     1,     6,     5,     5,     7,     3,     8,     4
882,     3,     3,     3,    10,     5,     7,     8,     5,     2,     9,     8,     7,     9,     5,     5,     4,     8,     4,     2,     4
883,     4,     7,     9,     6,     0,     6,     7,     4,     8,     2,     3,     8,     3,     4,     1,     6,     8,     5,     1,     2
884,     9,     8,     7,     9,    10,     6,     6,     3,     7,     5,     2,     5,     4,     3,     1,     6,     3,     5,     5,     2
885,    10,     8,    10,     9,     9,     3,     9,     4,     5,     1,     3,     7,     3,     3,     1,     3,     3,     6,     6,     2
886,     2,     3,     3,     7,     0,     7,     8,     7,     0,     8,    10,     4,     8,     2,     7,     6,     9,     7,     8,     6
887,     9,     7,     9,     9,     9,     8,    10,     3,     6,     2,     0,     6,     5,     3,     1,     6,     0,     5,     2,     1
888,     5,     5,     7,     9,     6,     8,    10,     6,     4,     8,     0,     4,     6,     6,     1,     5,     6,     5,     7,     0
889,     2,     3,     5,     5,     6,     7,     6,     4,     7,     9,     1,     6,     5,     5,     2,     7,     7,     5,     3,     3
890,     1,     1,     2,     8,     3,     6,     7,     5,     0,     9,     7,     4,     6,     8,     7,     8,     8,     5,     7,     6
891,     3,     0,     3,     9,     3,     5,     9,     3,     0,     8,     8,     9,     5,     3,     5,     6,     8,     6,     4,     8
892,    10,     9,     6,    10,     9,     7,     8,     6,     4,     0,     0,     6,     5,     3,     1,     4,     1,     4,     4,     3
893,     2,     1,     4,     8,     4,     6,     8,     4,     2,    10,     6,     5,     7,     3,     5,     8,     7,     5,     4,     5
894,     4,     8,     9,     5,     0,     9,     3,     6,     8,     3,     0,     3,     2,     2,     3,     3,     7,     5,     0,     1
895,    10,    10,    10,     9,     9,     4,     9,     6,     7,     3,     3,     5,     1,     0,     2,     5,     2,     4,     2,     5
896,     9,     9,     7,     7,     7,     9,     8,     7,     4,     5,     0,     5,     3,     2,     2,     4,     0,     8,     4,     1
897,     4,     7,     8,     6,     0,     8,     8,     6,     9,     2,     2,     6,     4,     2,     3,     3,     8,     4,     0,     2
898,    10,     6,     9,    10,     8,     8,     9,     7,     4,     3,     1,     4,     6,     2,     2,     5,     1,    10,     2,     5
899,    10,     9,     9,     5,     8,     8,     6,     6,     4,     3,     1,     5,     2,     3,     2,     3,     3,     4,     5,     3
900,     4,     3,     5,     6,     3,    10,     7,     5,     4,     7,     1,     7,     5,     4,     2,     4,     7,     5,     5,     2
901,     4,     5,     6,     9,     4,     7,     7,     4,     5,     8,     4,     9,     4,     5,     5,     6,    10,     5,     5,     2
902,    10,     9,     8,     9,     8,     8,     9,     3,     3,     0,     2,     8,     2,     0,     1,     7,     0,     4,     3,     2
903,     1,     4,     1,     8,     2,     5,     7,     7,     1,     6,     5,     3,     4,     2,     6,     3,     9,     8,     5,     9
904,     9,     4,     8,     7,     7,     5,     8,     7,     4,     4,     3,     6,     2,     2,     1,     6,     1,     5,     4,     2
905,     3,     9,     9,     5,     0,     6,     4,     3,     8,     1,     0,     8,     4,     3,     3,     4,     8,     3,     1,     2
906,    10,     7,    10,     5,     9,     9,     7,     6,     5,     4,     3,     6,     6,     5,     2,     6,     3,     4,     5,     3
907,     9,     9,     7,     8,     8,     6,     7,     4,     4,     2,     2,     5,     5,     1,     2,     7,     1,     6,     5,     2
908,     1,     2,     0,     8,     2,     5,     8,     6,     0,     9,     9,     6,     8,     2,     7,     2,     9,     8,     9,     7
909,     7,     2,     9,     6,     6,     5,     7,     4,     4,     8,     1,     8,     4,     5,     4,     4,     7,     2,     3,     2
910,    10,     7,     8,     9,     6,     6,     9,     4,     4,     5,     3,     7,     8,     4,     2,     3,     1,     2,     5,     3
911,     2,     4,     0,     6,     0,     6,    10,     5,     5,     9,     9,     6,    10,     3,     5,     6,     9,     7,     5,     5
912,     5,     5,     7,     7,     3,     7,     3,     4,     5,     7,     3,     5,     2,     8,     1,     4,     7,     5,     4,     3
913,     3,     1,     3,     9,     0,     8,     9,     7,     1,     7,     9,     4,     7,     0,     6,     5,     7,     5,     6,     6
914,     1,     2,     5,     8,     1,     7,     9,     5,     0,     6,     7,     5,     8,     2,     7,     6,     8,     2,     8,     5
915,     4,     2,     7,     7,     5,     7,    10,     6,     5,    10,     2,     5,     5,     6,     3,     2,     6,     3,     3,     3
916,    10,     8,     6,     8,     7,     3,     7,     7,     5,     2,     2,     4,     2,     4,     1,     6,     0,     3,     7,     2
917,     3,     3,     9,     6,     6,     9,     5,     4,     5,     7,     2,     4,     3,     6,     4,     8,     7,     5,     5,     2
918,     9,     6,    10,     7,     1,     7,     6,     5,     8,     3,     0,     4,     1,     3,     6,     5,     6,     5,     0,     3
919,    10,     9,     6,     8,     8,     7,     9,     5,     7,     0,     2,     6,     5,     3,     3,     7,     3,     5,     4,     2
